Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
108320,KR7108320003,LX세미콘,KOSPI,,65800,2,-700,-1.05,67000,67000,65500,24507,1618139100,1070190940000,16264300,STK
051980,KR7051980001,중앙첨단소재,KOSDAQ,중견기업부,10660,1,30,0.28,10630,10760,10340,1284116,13450599790,1065584291980,99961003,KSQ
103590,KR7103590006,일진전기,KOSPI,,22300,2,-450,-1.98,23050,23150,22050,392336,8809282450,1063384197000,47685390,STK
009450,KR7009450008,경동나비엔,KOSPI,,72800,1,1700,2.39,71200,74800,71200,84626,6234599300,1060593497600,14568592,STK
192080,KR7192080000,더블유게임즈,KOSPI,,48850,1,150,0.31,48950,49350,48650,38834,1902560400,1050075008100,21495906,STK
079160,KR7079160008,CJ CGV,KOSPI,,6340,1,250,4.11,6090,6440,6000,851510,5345702920,1049776020760,165579814,STK
002710,KR7002710002,TCC스틸,KOSPI,,39900,1,950,2.44,38950,40350,38200,297754,11711739050,1045926510300,26213697,STK
003620,KR7003620002,KG모빌리티,KOSPI,,5300,2,-110,-2.03,5410,5420,5260,340595,1813849360,1040942546200,196404254,STK
214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,19240,2,-110,-0.57,19350,19570,18910,68594,1317234040,1033476600000,53715000,KSQ
248070,KR7248070005,솔루엠,KOSPI,,20650,1,150,0.73,20550,20650,20300,150320,3085237600,1032614628150,50005551,STK
225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,15600,1,100,0.65,15540,15930,15320,645398,10039091390,1027293914400,65852174,KSQ
007340,KR7007340003,DN오토모티브,KOSPI,,102100,0,0,0.0,0,0,0,0,0,1020387910500,9994005,STK
001800,KR7001800002,오리온홀딩스,KOSPI,,16240,1,250,1.56,16000,16410,15940,176788,2870771820,1017361653280,62645422,STK
120110,KR7120110002,코오롱인더,KOSPI,,36500,1,600,1.67,36200,36750,35900,86107,3144038450,1004446821500,27519091,STK
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,17600,2,-190,-1.07,17790,17870,17560,145657,2572484010,991134196800,56314443,KSQ
031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,45700,1,50,0.11,45650,47600,45200,389079,18066883300,985401451500,21562395,KSQ
287410,KR7287410005,제이시스메디칼,KOSDAQ GLOBAL,우량기업부,12870,1,20,0.16,12850,12870,12850,16357,210281380,974158523910,75692193,KSQ
267270,KR7267270007,HD현대건설기계,KOSPI,,53200,1,2300,4.52,51200,53600,50800,294031,15470156300,973857175200,18305586,STK
241710,KR7241710003,코스메카코리아,KOSDAQ,우량기업부,90500,2,-5400,-5.63,96000,98500,88000,263402,24078430100,966540000000,10680000,KSQ
005420,KR7005420005,코스모화학,KOSPI,,25100,1,950,3.93,24300,25600,23550,466918,11520320550,964046522800,38408228,STK
033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,59900,2,-2200,-3.54,62200,62700,59500,332068,20165989600,962138299100,16062409,KSQ
